,19_2-F,1922-S1,1922-1-S2,1922-11-S3,1922-111-S4
10037734_187,0,0,0,0,0
10037734_193,0,0,0,0,0
10067478_194,2,2,2,2,2
10067478_247,2,2,2,2,2
10067478_280,2,2,2,2,2
10744769_347,0,0,0,0,0
10744769_415,0,0,0,0,0
10744769_420,1,1,1,1,1
10744769_496,1,1,1,NA,0
10744769_556,1,2,2,2,2
10744769_562,1,1,1,1,1
10744769_580,1,1,1,1,1
11940064_213,0,0,0,0,0
12006811_276,0,0,0,0,0
12006811_314,1,1,NA,NA,NA
1203429_535,2,2,2,2,2
12092238_417,0,0,0,0,0
12092238_439,0,0,0,0,0
12092238_454,0,0,0,0,0
12092238_488,0,0,0,0,0
12378141_88,0,0,0,0,0
1238669_2457,1,0,0,0,0
1238669_2540,1,2,2,2,2
1238669_2557,0,0,0,0,0
1238669_2591,0,0,0,0,0
12697123_387,0,0,0,0,0
12697123_404,1,1,1,1,1
12697123_485,1,1,1,1,1
12955242_339,0,0,0,0,0
12955242_389,0,0,0,0,0
12955242_405,0,0,0,0,0
1297298_3008,0,0,0,0,0
1297298_3066,0,0,0,0,0
13088301_250,1,1,1,1,1
13088301_259,1,1,1,1,1
13088301_261,1,1,1,1,1
13088301_290,2,2,2,2,2
13088301_316,0,0,0,0,0
13088301_349,1,1,1,1,1
13200464_401,0,0,0,0,0
13200464_448,0,0,0,0,0
13200464_466,0,0,0,0,0
13425917_74,1,1,1,NA,0
13425917_78,0,0,0,0,0
13425917_83,1,1,1,1,1
137057_5371,1,0,0,0,0
137057_5384,0,0,0,0,0
137057_5386,0,0,0,0,0
137057_5393,0,0,0,0,0
137057_5404,0,0,0,0,0
137057_5431,1,0,0,0,0
137057_5440,0,0,0,0,0
137057_5450,0,0,0,0,0
137057_5452,0,0,0,0,0
137057_5458,1,1,1,1,1
13777658_154,0,0,0,0,0
13777658_174,0,0,0,0,0
13777658_176,1,1,1,1,1
13777658_177,0,0,0,0,0
13777658_185,0,0,0,0,0
13777658_213,1,1,1,1,1
13777658_215,0,0,0,0,0
13777658_235,1,1,1,1,1
13777658_248,0,0,0,0,0
13777658_249,1,1,1,1,1
13777658_267,1,1,1,1,1
13777658_286,1,1,1,1,1
13777658_287,1,1,1,1,1
13777658_292,1,1,1,1,1
13777658_299,2,2,2,2,2
13777658_394,2,2,2,2,2
13777658_422,2,2,2,2,2
13777658_434,0,0,0,0,0
13923025_139,0,0,0,0,0
13923025_165,1,1,1,1,1
13923025_174,1,1,1,1,1
13923025_179,1,1,1,1,1
