,16_5-F,1654-S1,1654-4-S2,1654-45-S3,1654-454-S4,1654-454-S5
10037734_187,0,0,0,0,0,0
10037734_193,0,0,0,0,0,0
10037734_70,0,0,0,0,0,0
10067478_194,1,1,1,1,1,2
10067478_247,1,2,2,2,2,2
10067478_280,1,2,2,2,2,2
10744769_347,0,0,0,0,0,0
10744769_415,0,0,0,0,0,0
10744769_420,1,0,0,0,0,0
10744769_496,1,1,1,1,1,2
10744769_556,1,1,1,1,1,2
10744769_562,1,1,1,1,1,2
11940064_213,0,0,0,0,0,0
12006811_276,0,0,0,0,0,0
12006811_314,1,0,0,0,0,0
1203429_535,1,1,1,NA,0,0
12092238_417,1,1,1,1,1,1
12092238_439,0,0,0,0,0,0
12092238_454,1,1,1,1,1,1
12378141_88,0,0,0,0,0,0
1238669_2457,0,0,0,0,0,0
1238669_2540,0,0,0,0,0,0
1238669_2557,0,0,0,0,0,0
1238669_2591,0,0,0,0,0,0
12697123_387,0,0,0,0,0,0
12697123_404,0,0,0,0,0,0
12697123_485,0,0,0,0,0,0
12955242_405,0,0,0,0,0,0
13088301_259,1,1,1,1,1,1
13088301_261,1,1,1,1,1,1
13088301_290,1,1,1,1,1,2
13088301_316,0,0,0,0,0,0
13088301_349,1,1,1,1,1,1
13200464_367,0,0,0,0,0,0
13200464_401,0,0,0,0,0,0
13200464_448,0,0,0,0,0,0
13200464_466,0,0,0,0,0,0
13425917_78,0,0,0,0,0,0
137057_5371,1,1,1,1,1,1
137057_5384,1,1,1,1,1,1
137057_5386,1,1,1,1,1,1
137057_5393,1,0,0,0,0,0
137057_5404,0,0,0,0,0,0
137057_5431,1,0,0,0,0,0
137057_5440,1,1,1,1,1,0
137057_5450,1,1,1,1,1,0
137057_5452,1,1,1,1,1,0
137057_5458,0,0,0,0,0,0
13777658_143,0,0,0,0,0,0
13777658_154,0,0,0,0,0,0
13777658_174,0,0,0,0,0,0
13777658_177,0,0,0,0,0,0
13777658_185,0,0,0,0,0,0
13777658_210,1,1,0,0,0,0
13777658_213,1,1,1,1,1,1
13777658_215,1,1,0,0,0,0
13777658_235,1,1,1,1,1,0
13777658_248,0,0,0,0,0,0
13777658_249,1,1,1,NA,0,0
13777658_267,1,1,1,NA,0,0
13777658_286,1,1,1,NA,0,0
13777658_287,0,0,0,0,0,0
13777658_292,0,0,0,0,0,0
13777658_299,1,1,1,NA,0,0
13777658_394,0,0,0,0,0,0
13777658_434,0,0,0,0,0,0
13923025_139,0,0,0,0,0,0
13923025_165,1,1,1,1,1,1
13923025_174,1,1,1,1,1,1
13923025_179,1,1,1,1,1,0
13923025_186,0,0,0,0,0,0
13923025_193,1,0,0,0,0,0
13923025_195,0,0,0,0,0,0
13923025_217,1,0,0,0,0,0
13923025_243,1,1,1,1,1,1
13923025_270,1,1,1,1,1,1
13923025_282,0,0,0,0,0,0
1441214_2511,0,0,0,0,0,0
1441214_2530,0,0,0,0,0,0
1441214_2562,0,0,0,0,0,0
1441214_2619,0,0,0,0,0,0
1441214_2634,0,0,0,0,0,0
14485987_171,0,0,0,0,0,0
14485987_172,0,0,0,0,0,0
14485987_175,0,0,0,0,0,0
14485987_182,0,0,0,0,0,0
14485987_188,0,0,0,0,0,0
14485987_200,0,0,0,0,0,0
14485987_203,0,0,0,0,0,0
14485987_221,0,0,0,0,0,0
14808049_151,0,0,0,0,0,0
14808049_154,0,0,0,0,0,0
14808049_164,0,0,0,0,0,0
14808049_228,0,0,0,0,0,0
14808049_229,0,0,0,0,0,0
14808049_262,0,0,0,0,0,0
14808049_273,0,0,0,0,0,0
14808049_274,0,0,0,0,0,0
15090513_298,0,0,0,0,0,0
15090513_318,1,1,1,1,1,1
15090513_347,0,0,0,0,0,0
15240933_286,1,0,0,0,0,0
15240933_294,0,0,0,0,0,0
15240933_298,1,0,0,0,0,0
15240933_304,1,0,0,0,0,0
15240933_316,0,0,0,0,0,0
15240933_328,0,0,0,0,0,0
15240933_343,0,0,0,0,0,0
15240937_111,0,0,0,0,0,0
15240937_177,0,0,0,0,0,0
15389861_126,1,1,1,NA,0,0
15389861_131,1,1,1,NA,0,0
15389861_176,1,1,1,NA,0,0
15389861_201,1,1,1,NA,0,0
15389861_204,1,1,1,NA,0,0
15419711_499,1,1,1,1,1,1
15419711_517,1,1,1,1,1,1
15419711_521,1,1,1,1,1,1
15419711_523,1,1,1,1,1,1
15419711_534,1,1,1,1,1,1
15419711_568,1,1,1,1,1,1
15419711_596,0,0,0,0,0,0
15462443_611,0,0,0,0,0,0
15462443_612,0,0,0,0,0,0
15462443_671,0,0,0,0,0,0
15462443_713,0,0,0,0,0,0
1558924_1376,2,2,2,2,2,2
15901180_338,0,0,0,0,0,0
1615033_488,1,2,2,2,2,2
1615033_496,1,2,2,2,2,2
1615033_500,1,2,2,2,2,2
1615033_558,1,2,2,2,2,2
1615033_575,1,2,2,2,2,2
1615033_628,1,2,2,2,2,2
1615033_681,1,2,2,2,2,2
1615033_725,1,1,1,1,1,0
1615033_758,0,0,0,0,0,0
1615033_785,1,1,1,1,1,1
1615033_789,0,0,0,0,0,0
1615033_792,0,0,0,0,0,0
1615033_794,0,0,0,0,0,0
16168833_95,0,0,0,0,0,0
16323825_111,0,0,0,0,0,0
16323825_112,0,0,0,0,0,0
16323825_114,0,0,0,0,0,0
16323825_118,0,0,0,0,0,0
16323825_126,0,0,0,0,0,0
16323825_127,0,0,0,0,0,0
16323825_139,0,0,0,0,0,0
16323825_140,0,0,0,0,0,0
16323825_147,0,0,0,0,0,0
16323825_291,0,0,0,0,0,0
16323825_298,0,0,0,0,0,0
16323825_303,1,1,1,1,1,0
16323825_312,0,0,0,0,0,0
16323825_319,0,0,0,0,0,0
16323825_322,0,0,0,0,0,0
16323825_323,0,0,0,0,0,0
16323825_336,1,1,1,1,1,1
16323825_341,0,0,0,0,0,0
16323825_343,0,0,0,0,0,0
16323825_349,0,0,0,0,0,0
16323825_361,0,0,0,0,0,0
16323825_363,0,0,0,0,0,0
16323825_367,0,0,0,0,0,0
16323825_370,1,1,1,1,1,1
16323825_372,0,0,0,0,0,0
16323825_379,0,0,0,0,0,0
16323825_380,0,0,0,0,0,0
16323825_387,1,0,0,0,0,0
16323825_395,0,0,0,0,0,0
16323825_402,1,1,1,NA,0,0
16323825_412,1,0,0,0,0,0
16323825_420,0,0,0,0,0,0
16323825_421,0,0,0,0,0,0
16323825_429,0,0,0,0,0,0
16323825_433,0,0,0,0,0,0
16323825_442,0,0,0,0,0,0
16323825_445,0,0,0,0,0,0
16323825_447,0,0,0,0,0,0
16323825_454,1,0,0,0,0,0
16323825_472,1,1,1,1,1,1
16323825_96,0,0,0,0,0,0
16553979_135,2,2,2,2,2,2
16553979_144,2,2,2,2,2,2
16553979_151,0,0,0,0,0,0
16553979_165,0,0,0,0,0,0
16553979_204,0,0,0,0,0,0
16553979_206,2,2,2,2,2,2
16553979_381,1,2,2,2,2,2
17094313_124,1,1,1,1,1,0
17094313_144,0,0,0,0,0,0
17094313_189,0,0,0,0,0,0
17094313_194,0,0,0,0,0,0
17094313_208,0,0,0,0,0,0
17094313_217,0,0,0,0,0,0
17094313_218,0,0,0,0,0,0
17094313_220,0,0,0,0,0,0
17094313_236,1,2,2,2,2,2
17094313_239,1,0,0,0,0,0
17094313_249,0,0,0,0,0,0
17094313_252,1,0,0,0,0,0
17094313_278,0,0,0,0,0,0
17372574_255,1,2,2,2,2,2
17372574_318,1,1,1,1,1,0
17372574_356,1,1,1,1,1,0
17372574_391,0,0,0,0,0,0
1769240_184,0,0,0,0,0,0
1769240_255,0,0,0,0,0,0
1769240_266,0,0,0,0,0,0
1776611_334,1,2,2,2,2,2
1776611_369,0,0,0,0,0,0
1776611_377,1,2,2,2,2,2
17898864_119,0,0,0,0,0,0
17898864_120,0,0,0,0,0,0
17983281_143,1,1,1,1,1,1
17983281_171,0,0,0,0,0,0
17983281_233,0,0,0,0,0,0
17983281_238,0,0,0,0,0,0
17983281_263,0,0,0,0,0,0
17983281_267,1,1,1,1,1,0
17983281_273,1,1,1,1,1,0
17983281_329,0,0,0,0,0,0
17983281_374,0,0,0,0,0,0
17983281_376,0,0,0,0,0,0
18150287_169,1,0,0,0,0,0
18491939_68,0,0,0,0,0,0
18491939_69,0,0,0,0,0,0
18491939_74,1,1,1,1,1,1
18491939_76,0,0,0,0,0,0
18491939_78,0,0,0,0,0,0
18530056_131,0,0,0,0,0,0
18530056_180,1,NA,NA,NA,NA,0
18530056_182,1,NA,NA,NA,NA,0
18530056_203,1,NA,NA,NA,NA,0
19039973_215,1,2,2,2,2,2
19196369_265,0,0,0,0,0,0
19196369_268,0,0,0,0,0,0
19196369_306,0,0,0,0,0,0
19196369_361,0,0,0,0,0,0
19196369_362,0,0,0,0,0,0
1946607_103,0,0,0,0,0,0
1946607_114,1,1,1,1,1,0
1946607_118,0,0,0,0,0,0
1946607_124,1,1,1,1,1,1
1946607_126,1,1,1,1,1,1
1946607_131,0,0,0,0,0,0
1946607_139,0,0,0,0,0,0
1946607_141,1,1,2,2,2,2
1946607_143,1,1,1,1,1,0
1946607_165,0,0,0,0,0,0
1946607_173,1,1,1,1,1,1
1946607_193,1,1,1,1,1,1
1946607_92,0,0,0,0,0,0
1946607_93,0,0,0,0,0,0
