,6_4-F,646-S1,646-4-S2,646-45-S3,646-454-S4,646-454-S5
10037734_187,1,1,1,1,1,1
10037734_193,1,1,1,1,1,1
10037734_70,1,1,1,1,1,1
10067478_194,2,2,2,2,2,2
10067478_247,2,2,2,2,2,2
10067478_280,2,2,2,2,2,2
10744769_347,0,0,0,0,0,0
10744769_415,0,0,0,0,0,0
10744769_420,0,0,0,0,0,0
10744769_496,1,1,0,0,0,0
10744769_556,1,1,0,0,0,0
10744769_562,1,1,0,0,0,0
10744769_580,1,1,0,0,0,0
11940064_213,0,0,0,0,0,0
1203429_535,2,2,2,2,2,2
12092238_439,0,0,0,0,0,0
12378141_88,1,2,2,2,2,2
1238669_2457,0,0,0,0,0,0
1238669_2557,0,0,0,0,0,0
1238669_2591,0,0,0,0,0,0
12697123_387,0,0,0,0,0,0
12697123_404,0,0,0,0,0,0
12697123_485,0,0,0,0,0,0
12955242_339,1,1,1,2,2,2
12955242_389,1,1,1,2,2,2
12955242_405,0,0,0,0,0,0
1297298_3008,0,0,0,0,0,0
1297298_3066,0,0,0,0,0,0
13088301_250,1,1,1,1,1,0
13088301_259,1,1,1,1,1,1
13088301_261,1,1,1,1,1,1
13088301_316,0,0,0,0,0,0
13088301_349,1,1,1,1,1,1
13200464_367,0,0,0,0,0,0
13200464_401,0,0,0,0,0,0
13200464_448,0,0,0,0,0,0
13200464_466,0,0,0,0,0,0
13425917_74,1,1,1,0,0,0
13425917_78,0,0,0,0,0,0
13425917_83,0,0,0,0,0,0
137057_5384,1,1,1,1,1,0
137057_5386,1,1,1,1,1,0
137057_5393,0,0,0,0,0,0
137057_5404,0,0,0,0,0,0
137057_5431,0,0,0,0,0,0
137057_5440,1,1,1,0,0,0
137057_5450,1,1,1,0,0,0
137057_5452,0,0,0,0,0,0
137057_5458,0,0,0,0,0,0
13777658_143,0,0,0,0,0,0
13777658_174,0,0,0,0,0,0
13777658_177,0,0,0,0,0,0
13777658_185,0,0,0,0,0,0
13777658_210,0,0,0,0,0,0
13777658_213,1,1,1,1,1,1
13777658_215,0,0,0,0,0,0
13777658_235,1,1,1,1,1,1
13777658_248,0,0,0,0,0,0
13777658_249,1,1,1,1,1,1
13777658_267,0,0,0,0,0,0
13777658_286,1,1,1,1,1,1
13777658_287,1,1,1,1,1,1
13777658_292,1,1,1,1,1,1
13777658_299,1,1,1,1,1,2
13777658_394,1,1,0,0,0,0
13777658_422,1,1,0,0,0,0
13777658_434,0,0,0,0,0,0
13923025_139,1,1,1,1,1,0
13923025_165,1,1,1,1,0,0
13923025_169,0,0,0,0,0,0
13923025_174,1,1,1,1,1,1
13923025_179,1,1,1,1,1,0
13923025_186,1,0,0,0,0,0
13923025_193,1,0,0,0,0,0
13923025_195,0,0,0,0,0,0
13923025_243,1,1,1,1,1,1
13923025_258,0,0,0,0,0,0
13923025_270,1,1,1,1,1,1
13923025_282,0,0,0,0,0,0
14099780_128,0,0,0,0,0,0
14099780_220,0,0,0,0,0,0
14099780_228,0,0,0,0,0,0
1441214_2511,0,0,0,0,0,0
1441214_2530,0,0,0,0,0,0
1441214_2562,0,0,0,0,0,0
1441214_2619,0,0,0,0,0,0
1441214_2634,0,0,0,0,0,0
14808049_151,0,0,0,0,0,0
14808049_154,0,0,0,0,0,0
14808049_164,1,1,1,1,1,1
14808049_228,0,0,0,0,0,0
14808049_229,1,1,1,1,1,1
14808049_262,0,0,0,0,0,0
14808049_273,0,0,0,0,0,0
14808049_274,0,0,0,0,0,0
15090513_298,1,1,1,1,1,1
15090513_318,0,0,0,0,0,0
15090513_347,1,1,1,1,1,1
15240933_286,1,1,1,1,1,1
15240933_294,0,0,0,0,0,0
15240933_298,1,1,1,1,1,1
15240933_316,0,0,0,0,0,0
15240933_328,1,1,1,1,1,1
15240933_343,1,1,1,1,1,1
15240937_177,1,1,1,2,2,2
15389861_126,0,0,0,0,0,0
15389861_131,0,0,0,0,0,0
15389861_176,0,0,0,0,0,0
15389861_201,0,0,0,0,0,0
15389861_204,0,0,0,0,0,0
15419711_499,2,2,2,2,2,2
15419711_517,2,2,2,2,2,2
15419711_521,2,2,2,2,2,2
15419711_523,2,2,2,2,2,2
15419711_534,2,2,2,2,2,2
15419711_568,2,2,2,2,2,2
15419711_596,0,0,0,0,0,0
15462443_611,0,0,0,0,0,0
15462443_612,0,0,0,0,0,0
15462443_671,0,0,0,0,0,0
15462443_713,0,0,0,0,0,0
1558924_1376,1,0,0,0,0,0
15901180_338,0,0,0,0,0,0
1615033_488,0,0,0,0,0,0
1615033_496,0,0,0,0,0,0
1615033_500,0,0,0,0,0,0
1615033_558,0,0,0,0,0,0
1615033_575,0,0,0,0,0,0
1615033_628,0,0,0,0,0,0
1615033_681,0,0,0,0,0,0
1615033_725,1,0,0,0,0,0
1615033_758,0,0,0,0,0,0
1615033_785,1,1,1,1,1,1
1615033_789,0,0,0,0,0,0
1615033_791,0,0,0,0,0,0
1615033_792,0,0,0,0,0,0
1615033_794,0,0,0,0,0,0
16168833_95,0,0,0,0,0,0
16323825_112,0,0,0,0,0,0
16323825_114,0,0,0,0,0,0
16323825_118,0,0,0,0,0,0
16323825_126,0,0,0,0,0,0
16323825_128,1,1,1,1,1,0
16323825_139,0,0,0,0,0,0
16323825_140,0,0,0,0,0,0
16323825_147,0,0,0,0,0,0
16323825_241,1,1,1,1,0,0
16323825_291,0,0,0,0,0,0
16323825_298,0,0,0,0,0,0
16323825_303,1,1,1,1,1,1
16323825_312,0,0,0,0,0,0
16323825_319,0,0,0,0,0,0
16323825_322,0,0,0,0,0,0
16323825_323,0,0,0,0,0,0
16323825_336,1,2,2,2,2,2
16323825_341,0,0,0,0,0,0
16323825_343,0,0,0,0,0,0
16323825_349,0,0,0,0,0,0
16323825_361,0,0,0,0,0,0
16323825_363,0,0,0,0,0,0
16323825_367,0,0,0,0,0,0
16323825_370,1,2,2,2,2,2
16323825_372,0,0,0,0,0,0
16323825_379,1,1,0,0,0,0
16323825_380,1,0,0,0,0,0
16323825_387,0,0,0,0,0,0
16323825_393,0,0,0,0,0,0
16323825_395,0,0,0,0,0,0
16323825_402,0,0,0,0,0,0
16323825_412,0,0,0,0,0,0
16323825_420,0,0,0,0,0,0
16323825_421,0,0,0,0,0,0
16323825_429,0,0,0,0,0,0
16323825_433,0,0,0,0,0,0
16323825_442,0,0,0,0,0,0
16323825_445,0,0,0,0,0,0
16323825_447,0,0,0,0,0,0
16323825_454,0,0,0,0,0,0
16323825_461,0,0,0,0,0,0
16323825_472,1,1,1,1,1,1
16323825_96,0,0,0,0,0,0
16553979_135,0,0,0,0,0,0
16553979_144,0,0,0,0,0,0
16553979_151,0,0,0,0,0,0
16553979_165,0,0,0,0,0,0
16553979_204,0,0,0,0,0,0
16553979_206,0,0,0,0,0,0
16553979_381,0,0,0,0,0,0
170704_219,0,0,0,0,0,0
17094313_124,1,0,0,0,0,0
17094313_152,1,0,0,0,0,0
17094313_168,0,0,0,0,0,0
17094313_189,0,0,0,0,0,0
17094313_194,0,0,0,0,0,0
17094313_208,0,0,0,0,0,0
17094313_217,0,0,0,0,0,0
17094313_218,0,0,0,0,0,0
17094313_220,0,0,0,0,0,0
17094313_239,0,0,0,0,0,0
17094313_249,0,0,0,0,0,0
17094313_252,0,0,0,0,0,0
17094313_278,0,0,0,0,0,0
17372574_391,0,0,0,0,0,0
1769240_184,0,0,0,0,0,0
1769240_255,0,0,0,0,0,0
1769240_266,0,0,0,0,0,0
1776611_334,0,0,0,0,0,0
1776611_369,1,2,2,2,2,2
1776611_377,0,0,0,0,0,0
17898864_119,0,0,0,0,0,0
17898864_120,0,0,0,0,0,0
17983281_143,0,0,0,0,0,0
17983281_171,0,0,0,0,0,0
17983281_233,0,0,0,0,0,0
17983281_238,0,0,0,0,0,0
17983281_263,0,0,0,0,0,0
17983281_267,0,0,0,0,0,0
17983281_273,0,0,0,0,0,0
17983281_329,0,0,0,0,0,0
17983281_374,0,0,0,0,0,0
17983281_376,0,0,0,0,0,0
18150287_169,1,2,2,2,2,2
18491939_68,0,0,0,0,0,0
18491939_69,0,0,0,0,0,0
18491939_74,1,1,1,1,1,1
18491939_76,0,0,0,0,0,0
18491939_78,0,0,0,0,0,0
18530056_131,0,0,0,0,0,0
18530056_182,1,1,1,1,1,1
18530056_203,1,1,1,1,1,1
19039973_215,2,2,2,2,2,2
19039973_222,2,2,2,2,2,2
19196369_265,1,0,0,0,0,0
19196369_268,1,0,0,0,0,0
19196369_306,1,0,0,0,0,0
19196369_361,0,0,0,0,0,0
19196369_362,0,0,0,0,0,0
1946607_103,1,0,0,0,0,0
1946607_114,0,0,0,0,0,0
1946607_118,0,0,0,0,0,0
1946607_126,1,1,1,1,1,1
1946607_128,1,2,2,2,2,2
1946607_131,1,1,1,1,1,0
1946607_139,1,0,0,0,0,0
1946607_141,1,2,2,2,2,2
1946607_143,1,1,1,1,0,0
1946607_165,0,0,0,0,0,0
1946607_173,1,1,1,1,0,0
1946607_193,1,1,1,1,1,0
1946607_79,0,0,0,0,0,0
1946607_92,0,0,0,0,0,0
1946607_93,0,0,0,0,0,0
1946607_94,1,1,0,0,0,0
1946607_99,1,1,1,1,1,1
20066919_116,0,0,0,0,0,0
20066919_81,0,0,0,0,0,0
21533801_253,0,0,0,0,0,0
21533801_279,1,1,1,1,1,1
21533801_292,0,0,0,0,0,0
21533801_293,0,0,0,0,0,0
21533801_295,2,2,2,2,2,2
21533801_324,0,0,0,0,0,0
21533801_329,2,2,2,2,2,2
21533801_343,2,2,2,2,2,2
21533801_359,0,0,0,0,0,0
21533801_362,0,0,0,0,0,0
21533806_425,2,2,2,2,2,2
2231860_287,0,0,0,0,0,0
2231860_334,0,0,0,0,0,0
2231860_364,0,0,0,0,0,0
2231860_414,0,0,0,0,0,0
2310012_408,1,1,1,1,1,1
2310012_415,0,0,0,0,0,0
2310012_417,1,1,1,1,1,1
2310012_425,1,1,1,1,1,1
2310012_431,0,0,0,0,0,0
2310012_445,0,0,0,0,0,0
2310012_446,0,0,0,0,0,0
2310012_447,0,0,0,0,0,0
2310012_448,1,1,1,1,1,1
2310012_449,0,0,0,0,0,0
2310012_450,1,1,1,1,1,1
2310012_471,0,0,0,0,0,0
2310012_474,1,1,1,1,1,1
2310012_476,0,0,0,0,0,0
23369181_217,0,0,0,0,0,0
23369181_222,0,0,0,0,0,0
23369181_224,0,0,0,0,0,0
23369181_226,0,0,0,0,0,0
23369181_235,0,0,0,0,0,0
23369181_237,0,0,0,0,0,0
23369181_238,NA,NA,NA,2,2,2
23369181_241,1,NA,2,2,2,2
23369181_272,1,NA,2,2,2,2
2425235_128,1,1,1,1,1,1
2425235_134,1,1,1,1,1,1
2425235_135,1,1,1,1,1,1
2425235_189,1,1,1,1,1,1
2425235_197,1,2,2,2,2,2
2463178_3055,0,0,0,0,0,0
2463178_3058,0,0,0,0,0,0
2463178_3092,0,0,0,0,0,0
2463178_3093,0,0,0,0,0,0
2463178_3101,0,0,0,0,0,0
2463178_3103,0,0,0,0,0,0
2463178_3196,0,0,0,0,0,0
2463178_3238,0,0,0,0,0,0
2483091_2120,0,0,0,0,0,0
2499965_205,0,0,0,0,0,0
2709928_3783,0,0,0,0,0,0
2709928_3838,0,0,0,0,0,0
2709928_3841,0,0,0,0,0,0
2709928_3842,0,0,0,0,0,0
2709928_3848,0,0,0,0,0,0
2709928_3856,0,0,0,0,0,0
2709928_3891,0,0,0,0,0,0
2709928_3893,0,0,0,0,0,0
2709928_3898,0,0,0,0,0,0
2709928_3910,0,0,0,0,0,0
2709928_3916,0,0,0,0,0,0
2709928_3928,0,0,0,0,0,0
2709928_3951,0,0,0,0,0,0
2709928_3956,1,1,1,1,1,0
2709928_3985,1,1,1,1,1,0
2709928_3987,1,1,1,1,1,0
2709928_4016,0,0,0,0,0,0
2788774_707,1,1,0,0,0,0
2788774_733,1,1,1,1,1,1
2788774_769,0,0,0,0,0,0
2788774_772,0,0,0,0,0,0
2788774_776,1,1,1,1,1,1
2788774_777,1,1,1,1,1,1
2788774_793,1,0,0,0,0,0
2788774_818,0,0,0,0,0,0
2788774_827,0,0,0,0,0,0
2788774_828,0,0,0,0,0,0
2788774_835,0,0,0,0,0,0
2788774_855,0,0,0,0,0,0
2788774_860,0,0,0,0,0,0
2788774_862,0,0,0,0,0,0
2788774_863,0,0,0,0,0,0
2788774_865,0,0,0,0,0,0
28134598_200,1,1,1,1,2,2
28135302_592,0,0,0,0,0,0
28135302_625,2,2,2,2,2,2
28135302_652,0,0,0,0,0,0
28135302_706,1,1,1,1,1,1
28135869_189,0,0,0,0,0,0
28135869_330,0,0,0,0,0,0
28137071_1295,0,0,0,0,0,0
28137071_1359,1,1,1,1,1,1
28137071_1470,1,1,1,1,1,1
28137572_3722,0,0,0,0,0,0
28138317_165,0,0,0,0,0,0
28138317_246,1,1,1,1,1,1
28138317_272,0,0,0,0,0,0
28138351_5375,0,0,0,0,0,0
28138351_5415,0,0,0,0,0,0
28139210_128,1,1,1,1,1,1
28139210_199,1,1,1,1,1,1
28139210_255,1,1,1,1,1,1
28139210_333,0,0,0,0,0,0
28139328_1127,0,0,0,0,0,0
28139328_1230,0,0,0,0,0,0
28139713_121,0,0,0,0,0,0
28139713_148,0,0,0,0,0,0
28139713_160,1,1,1,1,1,1
28139713_203,1,1,1,1,1,1
28139713_219,0,0,0,0,0,0
28139713_220,1,1,1,1,1,1
28139713_223,1,1,1,1,0,0
28139713_225,1,1,1,1,1,1
28139713_236,1,1,1,1,0,0
28139713_70,0,0,0,0,0,0
28139713_71,0,0,0,0,0,0
28139713_79,0,0,0,0,0,0
28139713_91,0,0,0,0,0,0
28139713_92,0,0,0,0,0,0
28140702_484,1,1,1,1,1,1
28140702_489,1,1,1,1,1,1
28140702_490,0,0,0,0,0,0
28140702_491,0,0,0,0,0,0
28140702_529,0,0,0,0,0,0
28140702_531,0,0,0,0,0,0
28140702_532,0,0,0,0,0,0
28140702_537,0,0,0,0,0,0
28140702_545,1,1,1,1,1,1
28140702_553,0,0,0,0,0,0
28140702_571,1,1,1,1,1,1
28140702_581,1,1,1,1,1,1
28140702_586,1,1,1,1,1,1
28140702_612,0,0,0,0,0,0
28140702_637,0,0,0,0,0,0
28141228_3013,1,1,1,1,1,1
2814320_533,0,0,0,0,0,0
28143895_1004,0,0,0,0,0,0
28143895_956,0,0,0,0,0,0
28144677_2692,0,0,0,0,0,0
28144677_2696,0,0,0,0,0,0
28144677_2717,0,0,0,0,0,0
28145947_719,1,1,1,1,1,1
28149078_4214,1,1,1,1,1,1
28149078_4244,1,1,1,1,1,1
28149078_4296,0,0,0,0,0,0
28149078_4344,1,1,1,1,1,1
28149078_4409,1,1,1,1,1,1
28150842_758,1,1,0,0,0,0
28152325_411,1,1,1,1,1,1
28152325_452,1,1,1,1,1,1
28152325_475,1,1,1,1,1,1
28152975_2759,0,0,0,0,0,0
28152975_2760,0,0,0,0,0,0
28152975_2853,0,0,0,0,0,0
28152975_2860,0,0,0,0,0,0
28152975_2861,0,0,0,0,0,0
28152975_2873,0,0,0,0,0,0
28152975_2884,0,0,0,0,0,0
28152975_2891,0,0,0,0,0,0
28152975_2893,0,0,0,0,0,0
28152975_2898,0,0,0,0,0,0
28152975_2899,0,0,0,0,0,0
28152975_2903,0,0,0,0,0,0
28152975_2907,0,0,0,0,0,0
28152975_2908,2,2,2,2,2,2
28152975_2919,1,0,0,0,0,0
28152975_2924,0,0,0,0,0,0
28152975_2928,0,0,0,0,0,0
28152975_2929,1,0,0,0,0,0
28153607_182,1,1,1,1,1,0
28153607_207,0,0,0,0,0,0
28153863_4539,0,0,0,0,0,0
28154626_133,0,0,0,0,0,0
28154626_222,0,0,0,0,0,0
28154626_326,0,0,0,0,0,0
28154626_338,1,1,1,1,1,1
28154626_3509,1,1,1,1,1,1
28154626_3513,0,0,0,0,0,0
28154626_3525,1,1,1,1,1,1
28154626_3569,1,1,1,1,1,1
28154626_3598,0,0,0,0,0,0
28154626_3606,1,1,1,1,1,1
28154976_181,0,0,0,0,0,0
28155185_4505,0,0,0,0,0,0
28155185_4601,0,0,0,0,0,0
28155185_4618,0,0,0,0,0,0
28155185_4654,1,1,2,2,2,2
28155185_4677,0,0,0,0,0,0
28155185_4708,0,0,0,0,0,0
28155190_443,0,0,0,0,0,0
28155190_447,0,0,0,0,0,0
28155190_461,0,0,0,0,0,0
28155190_480,0,0,0,0,0,0
28155190_499,0,0,0,0,0,0
28155190_532,0,0,0,0,0,0
28155190_552,0,0,0,0,0,0
28155190_555,0,0,0,0,0,0
28155190_564,0,0,0,0,0,0
28155190_572,0,0,0,0,0,0
28155190_589,1,1,1,1,1,1
28155190_593,0,0,0,0,0,0
28155190_599,1,1,1,1,1,1
28155190_605,0,0,0,0,0,0
28155190_606,1,1,1,1,1,1
28155190_616,0,0,0,0,0,0
28155190_637,0,0,0,0,0,0
28155190_653,1,1,1,1,1,1
28155190_679,0,0,0,0,0,0
28155190_683,0,0,0,0,0,0
28155190_698,0,0,0,0,0,0
28155318_331,0,0,0,0,0,0
28155318_391,1,1,1,1,2,2
28155318_395,1,1,1,1,1,1
28155318_400,1,1,1,1,1,1
28155318_419,1,1,0,0,0,0
28155318_425,0,0,0,0,0,0
28155318_426,1,1,1,1,1,1
28155318_475,1,0,0,0,0,0
28155318_476,1,0,0,0,0,0
28155318_503,1,1,1,1,1,1
28155318_510,1,1,0,0,0,0
28155370_383,1,1,1,1,1,1
28155370_386,1,1,1,1,1,0
28155370_398,1,1,1,1,1,0
28155370_412,0,0,0,0,0,0
28155711_1017,0,0,0,0,0,0
28155711_595,1,1,1,1,1,0
28155711_611,0,0,0,0,0,0
28155711_672,0,0,0,0,0,0
28155711_870,0,0,0,0,0,0
28155711_879,1,1,1,1,1,1
28155711_887,0,0,0,0,0,0
28156791_792,0,0,0,0,0,0
28158048_447,2,2,2,2,2,2
28158048_449,2,2,2,2,2,2
28158048_450,2,2,2,2,2,2
28158048_503,0,0,0,0,0,0
28158258_79,1,1,1,1,1,1
28159089_148,2,2,2,2,2,2
28159089_150,0,0,0,0,0,0
28159089_229,2,2,2,2,2,2
28159089_236,2,2,2,2,2,2
28159089_268,2,2,2,2,2,2
28159089_271,2,2,2,2,2,2
28159089_315,2,2,2,2,2,2
28159089_398,0,0,0,0,0,0
28159089_399,2,2,2,2,2,2
28162055_1003,1,1,1,1,1,1
28162055_1053,0,0,0,0,0,0
28162055_941,1,1,1,1,1,1
28162055_952,1,0,0,0,0,0
28162055_958,1,0,0,0,0,0
28162055_960,1,1,1,1,1,1
28162055_965,1,1,1,1,1,1
28163155_1004,0,0,0,0,0,0
28164259_2495,1,2,2,2,2,2
28164259_2504,1,2,2,2,2,2
28164259_2506,1,2,2,2,2,2
28164259_2512,1,2,2,2,2,2
28164259_2619,0,0,0,0,0,0
28164259_2649,0,0,0,0,0,0
28164259_2650,0,0,0,0,0,0
28165285_403,0,0,0,0,0,0
28165285_510,0,0,0,0,0,0
28165285_545,1,2,2,2,2,2
28165285_553,0,0,0,0,0,0
28165285_576,1,1,1,1,1,1
28165285_620,0,0,0,0,0,0
28165285_628,0,0,0,0,0,0
28165285_638,0,0,0,0,0,0
28165285_644,0,0,0,0,0,0
28165285_653,0,0,0,0,0,0
28165285_655,0,0,0,0,0,0
28165552_514,0,0,0,0,0,0
28165552_516,0,0,0,0,0,0
28165862_339,1,1,1,1,1,1
28166317_1056,1,0,0,0,0,0
28166317_963,1,1,1,1,1,1
28166317_969,1,1,1,1,1,1
28168451_381,2,2,2,2,2,2
28169166_1094,1,1,1,1,1,1
28169166_1157,0,0,0,0,0,0
28169166_894,1,1,1,1,1,1
28172411_1974,0,0,0,0,0,0
28172411_1975,0,0,0,0,0,0
28172411_2045,0,0,0,0,0,0
28172901_199,0,0,0,0,0,0
28173112_1790,0,0,0,0,0,0
28174220_1890,1,0,0,0,0,0
28175193_2593,1,1,1,1,1,0
28175193_2632,1,1,1,1,1,0
28175193_2654,1,1,1,1,1,0
28175193_2664,1,1,1,1,1,0
28175193_2671,1,1,1,1,1,0
28175193_2672,0,0,0,0,0,0
28175193_2674,1,1,1,1,1,0
28175193_2680,0,0,0,0,0,0
28175193_2687,1,1,1,1,1,0
28175193_2710,0,0,0,0,0,0
28175193_2723,0,0,0,0,0,0
28176026_544,0,0,0,0,0,0
28176026_564,1,1,1,1,1,1
28176026_627,0,0,0,0,0,0
28176026_696,1,1,1,1,1,1
28176026_726,1,1,1,1,1,1
28176026_728,0,0,0,0,0,0
28176831_494,0,0,0,0,0,0
28176831_552,0,0,0,0,0,0
28176831_556,0,0,0,0,0,0
28176831_563,0,0,0,0,0,0
28176831_585,0,0,0,0,0,0
28178873_161,1,0,0,0,0,0
28178873_231,1,1,1,1,1,0
28178873_271,1,1,1,1,1,0
28182045_500,1,1,1,1,1,1
28182045_553,1,1,1,1,1,1
28182045_557,1,1,1,1,1,1
28183414_695,1,1,1,1,1,2
28185651_5063,1,1,1,1,1,1
28185651_5181,1,1,1,1,1,1
28186833_151,0,0,0,0,0,0
28186833_170,0,0,0,0,0,0
28186833_99,0,0,0,0,0,0
28186905_353,0,0,0,0,0,0
28186905_395,0,0,0,0,0,0
28186905_396,1,1,1,1,1,1
28186905_437,1,1,1,1,1,1
28187955_1023,2,2,2,2,2,2
28187955_1070,1,2,2,2,2,2
28187955_1108,0,0,0,0,0,0
28187955_1110,1,2,2,2,2,2
28187955_1163,0,0,0,0,0,0
28187955_1220,0,0,0,0,0,0
28187955_1267,0,0,0,0,0,0
28189582_726,1,1,1,1,1,1
28189582_766,0,0,0,0,0,0
28189712_529,1,1,1,1,1,1
28189712_530,1,1,1,1,1,1
28189712_567,0,0,0,0,0,0
28189712_615,0,0,0,0,0,0
28189804_545,0,0,0,0,0,0
28189804_546,0,0,0,0,0,0
28189804_578,1,0,0,0,0,0
28189804_582,1,1,1,1,1,1
28189804_623,1,1,1,1,0,0
28189804_627,1,1,1,1,0,0
28189804_633,0,0,0,0,0,0
28189804_636,0,0,0,0,0,0
28189804_655,1,1,1,1,1,0
28189804_691,0,0,0,0,0,0
