,6_1-F,611-S1,611-1-S2,611-11-S3,611-111-S4
10037734_187,1,1,1,1,1
10037734_193,1,1,1,1,1
10037734_70,1,1,1,1,1
10067478_194,2,2,2,2,2
10067478_247,2,2,2,2,2
10067478_280,1,2,2,2,2
10744769_347,0,0,0,0,0
10744769_415,0,0,0,0,0
10744769_420,0,0,0,0,0
10744769_496,1,1,1,1,1
10744769_556,1,1,1,1,1
10744769_562,1,1,1,1,1
10744769_580,1,1,1,1,1
11940064_213,0,0,0,0,0
12006811_276,0,0,0,0,0
12006811_314,0,0,0,0,0
1203429_535,2,2,2,2,2
12092238_417,1,1,1,0,0
12092238_439,0,0,0,0,0
12092238_454,1,1,1,1,0
12092238_488,0,0,0,0,0
12378141_88,1,1,1,2,2
1238669_2457,0,0,0,0,0
1238669_2540,1,0,0,0,0
1238669_2557,0,0,0,0,0
1238669_2591,0,0,0,0,0
12697123_387,0,0,0,0,0
12697123_404,0,0,0,0,0
12697123_485,0,0,0,0,0
12955242_339,0,0,0,0,0
12955242_389,0,0,0,0,0
12955242_405,0,0,0,0,0
1297298_3008,0,0,0,0,0
1297298_3066,0,0,0,0,0
13088301_250,1,1,1,1,1
13088301_259,1,1,1,1,1
13088301_261,1,1,1,1,1
13088301_290,2,2,2,2,2
13088301_316,0,0,0,0,0
13088301_349,1,1,1,1,1
13200464_367,0,0,0,0,0
13200464_401,0,0,0,0,0
13200464_448,0,0,0,0,0
13200464_466,0,0,0,0,0
13425917_74,1,1,1,1,0
13425917_78,0,0,0,0,0
13425917_83,0,0,0,0,0
137057_5371,0,0,0,0,0
137057_5384,0,0,0,0,0
137057_5386,0,0,0,0,0
137057_5393,0,0,0,0,0
137057_5404,0,0,0,0,0
137057_5431,0,0,0,0,0
137057_5440,1,1,1,1,2
137057_5450,1,1,1,1,2
137057_5452,0,0,0,0,0
137057_5458,0,0,0,0,0
13777658_143,0,0,0,0,0
13777658_154,0,0,0,0,0
13777658_174,0,0,0,0,0
13777658_176,0,0,0,0,0
13777658_177,0,0,0,0,0
13777658_185,0,0,0,0,0
13777658_210,0,0,0,0,0
13777658_213,1,1,1,1,1
13777658_215,0,0,0,0,0
13777658_235,1,1,1,1,1
13777658_248,0,0,0,0,0
13777658_249,1,1,1,1,1
13777658_267,1,1,1,1,1
13777658_286,1,1,1,1,1
13777658_287,1,1,1,1,1
13777658_292,1,1,1,1,2
13777658_422,1,1,2,2,2
13777658_434,0,0,0,0,0
13923025_139,0,0,0,0,0
13923025_169,0,0,0,0,0
13923025_174,1,1,1,1,1
13923025_179,1,1,1,1,1
13923025_186,0,0,0,0,0
13923025_193,0,0,0,0,0
13923025_195,0,0,0,0,0
13923025_217,0,0,0,0,0
13923025_243,1,1,1,1,1
13923025_258,0,0,0,0,0
13923025_270,1,1,1,1,1
13923025_282,0,0,0,0,0
14099780_128,0,0,0,0,0
14099780_220,0,0,0,0,0
14099780_228,0,0,0,0,0
1441214_2511,0,0,0,0,0
1441214_2530,1,0,0,0,0
1441214_2562,0,0,0,0,0
1441214_2619,1,0,0,0,0
1441214_2634,1,0,0,0,0
14485987_171,0,0,0,0,0
14485987_172,0,0,0,0,0
14485987_175,0,0,0,0,0
14485987_182,0,0,0,0,0
14485987_188,0,0,0,0,0
14485987_200,0,0,0,0,0
14485987_203,0,0,0,0,0
14485987_221,0,0,0,0,0
14808049_151,0,0,0,0,0
14808049_154,0,0,0,0,0
14808049_164,1,1,1,1,0
14808049_228,0,0,0,0,0
14808049_229,1,1,1,1,1
14808049_262,0,0,0,0,0
14808049_273,0,0,0,0,0
14808049_274,0,0,0,0,0
15090513_298,1,1,1,1,1
15090513_318,1,1,0,0,0
15090513_347,1,1,1,1,1
15240933_286,0,0,0,0,0
15240933_294,0,0,0,0,0
15240933_298,0,0,0,0,0
15240933_304,1,0,0,0,0
15240933_316,0,0,0,0,0
15240933_328,0,0,0,0,0
15240933_343,0,0,0,0,0
15240937_111,0,0,0,0,0
15240937_177,0,0,0,0,0
15389861_126,0,0,0,0,0
15389861_131,0,0,0,0,0
15389861_176,0,0,0,0,0
15389861_201,0,0,0,0,0
15389861_204,0,0,0,0,0
15419711_499,2,2,2,2,2
15419711_517,2,2,2,2,2
15419711_521,2,2,2,2,2
15419711_523,2,2,2,2,2
15419711_534,2,2,2,2,2
15419711_568,1,1,1,1,1
15419711_596,1,1,1,1,1
15462443_611,0,0,0,0,0
15462443_612,0,0,0,0,0
15462443_671,0,0,0,0,0
15462443_713,0,0,0,0,0
1558924_1376,2,2,2,2,2
15901180_338,0,0,0,0,0
1615033_488,0,0,0,0,0
1615033_496,0,0,0,0,0
1615033_500,0,0,0,0,0
1615033_558,0,0,0,0,0
1615033_575,0,0,0,0,0
1615033_628,0,0,0,0,0
1615033_681,0,0,0,0,0
1615033_725,1,1,1,1,1
1615033_758,0,0,0,0,0
1615033_785,1,1,1,1,1
1615033_789,0,0,0,0,0
1615033_791,0,0,0,0,0
1615033_792,0,0,0,0,0
1615033_794,0,0,0,0,0
16168833_95,0,0,0,0,0
16323825_111,0,0,0,0,0
16323825_112,0,0,0,0,0
16323825_114,0,0,0,0,0
16323825_118,0,0,0,0,0
16323825_126,0,0,0,0,0
16323825_127,0,0,0,0,0
16323825_128,1,1,0,0,0
16323825_134,1,1,0,0,0
16323825_139,0,0,0,0,0
16323825_140,0,0,0,0,0
16323825_147,1,0,0,0,0
16323825_291,0,0,0,0,0
16323825_298,0,0,0,0,0
16323825_303,1,1,1,1,0
16323825_312,0,0,0,0,0
16323825_319,0,0,0,0,0
16323825_322,0,0,0,0,0
16323825_323,0,0,0,0,0
16323825_336,1,1,1,1,2
16323825_341,0,0,0,0,0
16323825_343,0,0,0,0,0
16323825_349,0,0,0,0,0
16323825_361,0,0,0,0,0
16323825_367,0,0,0,0,0
16323825_370,1,1,1,1,2
16323825_372,0,0,0,0,0
16323825_379,1,1,1,1,1
16323825_380,1,0,0,0,0
16323825_387,0,0,0,0,0
16323825_393,0,0,0,0,0
16323825_395,1,0,0,0,0
16323825_402,1,0,0,0,0
16323825_412,1,1,1,0,0
16323825_420,1,1,1,0,0
16323825_421,0,0,0,0,0
16323825_429,0,0,0,0,0
16323825_433,0,0,0,0,0
16323825_442,0,0,0,0,0
16323825_445,0,0,0,0,0
16323825_447,0,0,0,0,0
16323825_454,1,1,1,0,0
16323825_461,1,0,0,0,0
16323825_472,0,0,0,0,0
16323825_96,0,0,0,0,0
16553979_135,0,0,0,0,0
16553979_144,0,0,0,0,0
16553979_151,0,0,0,0,0
16553979_165,0,0,0,0,0
16553979_204,0,0,0,0,0
16553979_206,0,0,0,0,0
16553979_381,0,0,0,0,0
170704_219,0,0,0,0,0
17094313_124,0,0,0,0,0
17094313_144,1,1,1,0,0
17094313_152,0,0,0,0,0
17094313_168,0,0,0,0,0
